Timestamp,fsrLEFT,fsrMIDDLE,fsrRIGHT,xpin,ypin,zpin,ax,ay,az,bx,by,bz,
320.0,0.12545455,0.0,0.0,0.06727266,0.01999998,0.37818193,1.9749374,1.301625,2.03825,1.0380626,-1.8579375,1.904125,
360.0,0.13181818,0.0,0.0,0.14363647,0.014545441,0.43090916,2.0453749,1.2966249,1.963125,1.0286875,-1.857375,1.8951249,
400.0,0.12545455,0.0,0.0,0.1309092,0.0072727203,0.51272726,2.0749998,1.0940626,1.8866875,1.0259376,-1.8561875,1.8943751,
440.0,0.12818182,0.0,0.0,0.20181823,-0.0090909,0.4545455,2.0891876,1.1543126,1.8921249,1.0326874,-1.8554375,1.9004376,
480.0,0.096363634,0.0,0.0,0.17818189,-0.027272701,0.46545458,-1.91675,1.0999374,-1.961875,1.0462501,-1.8578125,1.9109375,
520.0,0.096363634,0.0,0.0,0.31818175,0.043636322,0.51272726,1.9888124,1.0656874,-1.949125,1.0626249,-1.86075,1.9145,
560.0,0.06727273,0.0,0.0,0.44727278,0.21272731,0.5,2.0768752,1.0588126,2.0710626,1.0773749,-1.8649375,1.92525,
600.0,0.07272727,0.0,0.0,0.39454556,0.15454555,0.5654545,-1.975,1.1695626,-1.889625,1.0831876,-1.8661875,1.9273126,
640.0,0.11727273,0.0,0.0,0.17818189,-0.01636362,0.60545444,-1.9413126,1.0429375,1.9444375,1.0778749,-1.8675625,1.92575,
680.0,0.17272727,0.0,0.0,-0.027272701,-0.13272738,0.7290909,-1.928375,0.8324375,1.6380625,1.0629375,-1.86175,1.9156251,
720.0,0.17545454,0.0,0.0,-0.085454464,-0.31999993,0.81090903,-1.894875,0.6733749,1.252125,1.0473125,-1.8586875,1.9070625,
760.0,0.22272727,0.0,0.0,-0.121818066,-0.3327272,0.95818186,-1.849,0.6368749,1.2263124,1.0345626,-1.8565625,1.8986249,
800.0,0.24909091,0.0,0.0,0.0018181801,-0.23818183,0.98727274,-1.776,0.39706254,1.0339999,1.0288751,-1.855125,1.8980625,
840.0,0.20454545,0.0,0.0,0.20727277,-0.07454538,0.9109092,-1.7668126,0.3763125,1.3666251,1.030375,-1.8535,1.8996875,
880.0,0.18727273,0.0,0.0,0.20181823,0.0727272,0.7236364,-1.77,0.8730626,1.6161876,1.0385625,-1.8570625,1.9070625,
920.0,2.78,0.3309091,0.0,0.8236363,0.74727273,0.94000006,1.9081874,0.9660001,2.0098124,0.4583125,1.9221251,-0.68287504,
960.0,0.14909092,0.0,0.0,0.20727277,0.22545457,-0.07999992,1.7043126,1.9773126,-1.3008125,0.048000097,-1.585125,-1.7288125,
1000.0,0.10545454,0.0,0.0,-0.050909042,0.6418183,-0.07999992,1.6395626,-1.8683751,-1.321875,0.048000097,2.0171251,0.9881251,
1040.0,0.16363636,0.0,0.0,-0.103636265,0.7054546,0.12545466,1.1416249,1.8893125,-1.0878124,0.04812503,-1.9660625,0.737875,
1080.0,0.19636364,0.0,0.0,0.23636365,0.49454546,0.26,0.5708749,1.2766874,-1.3755,0.51356244,-1.9376875,0.8521249,
1120.0,0.19272727,0.0,0.0,0.23636365,0.2945454,0.389091,0.9969375,1.3585625,-1.637125,0.35168743,-1.7786875,1.3324375,
1160.0,0.23454545,0.0,0.0,0.22545457,0.3127272,0.40727282,1.492125,1.0935626,-1.55275,1.53825,-1.658375,-1.7663125,
1200.0,0.24545455,0.0,0.0,0.25454545,0.30727267,0.35454535,1.744875,1.036,-1.66975,1.829375,-1.9004375,2.0574374,
1240.0,0.19909091,0.0,0.0,0.49454546,0.27272725,0.37090898,1.80125,1.1225,-1.88475,1.9040625,-1.926125,2.082375,
1280.0,0.19636364,0.0,0.0,0.5999999,0.26545453,0.33636355,2.0028124,1.1749375,-1.2336249,1.7099376,-1.9743125,-1.907625,
1320.0,0.13727273,0.0,0.0,0.54181814,0.26,0.33636355,1.8476875,1.4038124,-1.422125,1.7570624,-1.958,2.0539374,
1360.0,0.18727273,0.0,0.0,0.5527272,0.24181819,0.33636355,1.9013126,1.1070626,-1.4311875,1.4590001,-1.9551876,2.049375,
1400.0,0.16363636,0.0,0.0,0.46000004,0.20727277,0.34727263,1.9215,1.1729374,-1.62075,1.5918751,-1.895125,1.95,
1440.0,0.19272727,0.0,0.0,0.37090898,0.18363643,0.3418181,1.9870625,1.1573751,-1.652375,0.9414375,-1.80275,1.8483126,
1480.0,0.21363637,0.0,0.0,0.3127272,0.15454555,0.34727263,2.0107498,1.1656251,-1.7708125,0.04881239,-1.6671875,1.6040001,
1520.0,0.21909091,0.0,0.0,0.37818193,0.101818085,0.34727263,1.9475,1.2605,-1.8833125,1.2351875,-1.8085,1.8315625,
