Timestamp,fsrLEFT,fsrMIDDLE,fsrRIGHT,xpin,ypin,zpin,ax,ay,az,bx,by,bz
160,0.04090909,0,0,0.18363643,0.059999943,0.43090916,2.056375,1.0003126,2.0479374,1.0656874,-1.7515,1.9477501
200,0.026363635,0,0,0.20181823,0.043636322,0.43090916,2.0831876,1.287375,-1.99825,1.0620625,-1.750375,1.9456251
240,0.02909091,0,0,0.1309092,0.12545466,0.5290909,-1.97525,1.0626874,1.9546249,1.0606875,-1.74975,1.9460626
280,0.02909091,0,0,0.1309092,0.054545403,0.5654545,-1.95675,0.9177499,1.7116251,1.0624375,-1.748125,1.9455626
320,0.026363635,0,0,0.149091,-0.00363636,0.55999994,2.0606875,0.97825,1.8826251,1.06725,-1.751,1.9507501
360,0.02909091,0,0,0.14363647,0.025454521,0.5290909,1.9838126,1.16625,1.8268125,1.075125,-1.7535625,1.9536874
400,0.046363637,0,0,0.043636322,0.101818085,0.570909,1.9345624,1.191,1.723625,1.0818751,-1.7551875,1.9569376
440,0.04909091,0,0,-0.03818178,0.1309092,0.57636356,1.8603749,1.0043125,1.6293125,1.0826876,-1.75525,1.96
480,0.04909091,0,0,-0.07999992,0.01999998,0.629091,1.8286874,0.9894376,1.6958125,1.0793126,-1.7535,1.9576249
520,0.05272727,0,0,-0.121818066,-0.085454464,0.6945455,1.9781251,0.957875,1.410625,1.0738125,-1.7554375,1.9536874
560,0.093636364,0,0,-0.15636373,-0.19090915,0.73454547,2.0258126,0.8717501,1.3143125,1.0675001,-1.7525,1.9478126
600,0.09090909,0,0,-0.19090915,-0.13272738,0.7763636,1.9331875,0.84381247,1.2444999,1.0580001,-1.750875,1.9463124
640,0.022727273,0,0,-0.33818173,-0.085454464,0.7236364,1.8141875,0.8140626,1.18525,1.0543749,-1.7485,1.946625
680,0.02909091,0,0,-0.22727275,-0.056363583,0.5654545,1.759875,0.7841251,1.2270625,1.0558751,-1.7511876,1.94575
720,0.03727273,0,0,0.112727165,-0.19090915,0.16545463,1.894625,1.1038125,1.693125,1.0571876,-1.753625,1.9521875
760,0.02,2.9409091,0,2.3363638,-0.20363641,0.5363636,-1.8555624,1.8959374,-1.1301875,-1.4166875,0.048000097,0.047937393
800,0.09090909,0,0,1.1581817,0.20181823,0.06727266,-0.68006253,-1.308625,-0.814,0.09743738,-0.20650005,-1.6915625
840,0.02909091,0,0,1.2272725,-0.00363636,0.119999886,-0.84731245,1.7414999,-0.6651875,0.85599995,-1.583375,1.7524376
880,0.017272728,0,0,1.1054544,-0.021818161,0.2781818,-1.127125,1.2701876,-0.88250005,1.5773749,-1.7529376,1.8658125
920,0.02,0,0,0.9818182,0.00727272,0.30181813,-1.2804999,1.3219376,-0.95862496,0.5808749,-1.8121874,2.0378752
960,0.03181818,0,0,0.7418182,0.00727272,0.3418181,-1.372,1.2439375,-1.1803125,0.22475004,-1.5995,1.9843125
1000,0.03727273,0,0,0.48363638,0.054545403,0.2945454,-1.6151875,1.1233125,-1.3831251,1.3657501,-1.8388125,1.9860001
1040,0.046363637,0,0,0.30727267,0.083636284,0.24909091,-1.6398749,1.3150625,-1.4973125,1.3910625,-1.81925,1.9980626
1080,0.04909091,0,0,0.112727165,0.090909004,0.30181813,-1.757375,1.3022499,-1.7285,0.9438126,-1.6661875,1.9690001
1120,0.05818182,0,0,0.083636284,0.06727266,0.3599999,-1.9304374,1.199125,-1.81425,1.3728125,-1.8291875,1.9639375
1160,0.060909092,0,0,-0.00363636,0.12545466,0.41272736,-1.914625,1.1598125,-1.87025,1.3624375,-1.8503125,1.9450624
1200,0.04090909,0,0,0.054545403,0.101818085,0.44727278,-1.9534374,1.1055624,-1.9539375,1.2528751,-1.8338125,1.9424374
1240,0.05272727,0,0,0.059999943,0.101818085,0.47636366,2.0034375,1.0768125,-1.9496875,1.4433124,-1.8806875,1.94625
1280,0.04909091,0,0,0.107272625,0.090909004,0.49454546,-1.98775,1.1411874,-1.940125,1.3801875,-1.8980625,1.9295001
1320,0.04090909,0,0,0.083636284,0.101818085,0.5363636,2.0793123,1.138875,-1.978125,1.3482499,-1.88,1.9302499
1360,0.04090909,0,0,0.030909061,0.06727266,0.51272726,2.0741248,1.0863125,1.9571874,1.4364376,-1.889875,1.942375
