Timestamp,fsrLEFT,fsrMIDDLE,fsrRIGHT,xpin,ypin,zpin,ax,ay,az,bx,by,bz
160,0.10545454,0,0.005454545,0.24909091,0.01999998,0.389091,2.0755625,1.161875,2.0685625,1.002125,-1.7014999,1.891875
200,0.10545454,0,0,0.20181823,0.01999998,0.38363647,-1.97925,1.1725626,-1.98525,1.0301249,-1.7123749,1.8991876
240,0.10818182,0,0,0.21272731,-0.00363636,0.34727263,2.0450625,1.2205,-1.992,1.0510626,-1.717625,1.9121876
280,0.09909091,0,0.008181818,0.16545463,0.025454521,0.35454535,1.9790626,1.3349376,-1.9864376,1.0570624,-1.71525,1.9265001
320,0.12,0,0,0.07818174,0.083636284,0.42363644,1.914875,1.1718125,2.085125,1.1213751,-1.7277501,1.9488125
360,0.09909091,0,0.017272728,0.18909097,0.20727277,0.47090912,1.828125,1.1907499,1.9962499,1.1356249,-1.7271249,1.9620626
400,0.07545455,0,0.014545455,0.16545463,0.20181823,0.5363636,1.8253126,1.2676876,1.9149375,1.1390624,-1.7280625,1.96175
440,0.07,0,0.02,0.16000009,0.18363643,0.60545444,1.6424999,1.0695624,1.9016249,1.1236875,-1.7266874,1.9513125
480,0.060909092,0,0.026363635,0.090909004,0.24181819,0.6763637,1.4736874,0.954375,1.74775,1.0711875,-1.7165,1.9324374
520,0.06363636,0,0.05272727,0.025454521,0.330909,0.73454547,1.366375,0.81868744,1.6825626,1.0529375,-1.7155,1.9166875
560,0.04090909,0,0.05272727,-0.0090909,0.46545458,0.8236363,1.2438126,0.81456256,1.6806874,1.0223124,-1.70825,1.9026251
600,0.03727273,0,0.06727273,-0.114545345,0.55999994,0.92363644,1.1175001,0.78125,1.5652499,1.0234375,-1.708,1.9017501
640,0.10545454,0,0.12545455,-0.40181828,0.5290909,0.98727274,0.8208749,0.50793743,1.2346876,1.03475,-1.7103125,1.90925
680,0.15818182,0,0.18727273,-0.5381818,0.46545458,0.870909,0.3908751,0.2923751,1.3361876,1.0510001,-1.7148125,1.921375
720,0.12545455,0,0.04909091,0.030909061,0.24909091,0.5527272,0.5175624,0.762625,1.7416251,1.0931251,-1.7254375,1.9468751
760,0.34545454,0,2.861818,-1.2363636,1.7618184,1.8018184,1.4663751,1.4051249,-1.997375,0.29943752,0.9151876,-0.4718125
800,0.02909091,0,0.26363635,0.92363644,0.39454556,0.030909061,-1.6573125,-1.858125,0.047937393,0.6868751,-1.6128125,1.6981876
840,0.07,0,0.04909091,0.81818175,-0.6672728,0.014545441,-0.6033125,-1.8085625,-1.7125,0.048000097,-0.47106254,1.2748125
880,0.10545454,0,0.07545455,0.7054546,-0.5090909,-0.03818178,-0.26643753,2.0540624,-1.69725,0.5606251,-1.2759376,1.666125
920,0.10181818,0,0.02909091,0.48363638,-0.3036363,-0.090909004,-1.44425,1.51,-1.6568124,0.051625013,-1.595625,1.82025
960,0.11363637,0,0.005454545,0.23090911,-0.16181827,0.119999886,-1.64125,2.0700002,-1.8883125,1.1845,2.0485,2.0821252
1000,0.14,0,0,0.17272735,-0.13818192,0.30727267,-1.8469375,1.4335,1.9940624,1.722625,-1.9331875,2.0600624
1040,0.07272727,0,0,0.28363633,-0.18000007,0.5527272,-1.6546249,0.31299996,1.3696251,1.7158749,-1.9091876,2.09475
1080,0.11727273,0,0,0.101818085,-0.22727275,1,-1.714625,0.12743759,-1.71325,1.8384376,-1.9024374,2.0115
1120,0.07545455,0,0,0.112727165,-0.19090915,0.8399999,-1.72225,0.43581247,1.9654374,1.5626874,-1.88075,2.0869374
1160,0.04909091,0,0,0.112727165,-0.01636362,0.7236364,2.0333748,0.80893755,1.8366876,1.4258125,-1.8311875,2.0286875
1200,0.03727273,0,0,-0.050909042,0.07818174,0.60545444,1.8736875,0.85493755,1.757,0.5161874,-1.536375,1.9163749
1240,0.034545455,0,0,-0.07454538,0.025454521,0.54181814,2.05725,1.057375,1.8626876,1.095875,-1.666,1.7826874
1280,0.03727273,0,0,-0.06909084,-0.050909042,0.4181819,2.014875,1.1715624,1.8687501,1.6339376,-1.8195,1.8201251
1320,0.04090909,0,0,-0.01636362,-0.109090805,0.36545444,2.0801249,1.3824375,1.810375,1.6318126,-1.836625,1.8255
1360,0.07545455,0,0,-0.056363583,-0.103636265,0.3599999,2.0846877,1.4623749,1.8547499,1.1549375,-1.74325,1.727
