Timestamp,fsrLEFT,fsrMIDDLE,fsrRIGHT,xpin,ypin,zpin,ax,ay,az,bx,by,bz,
280.0,0.18727273,0.0,0.0,-0.14545465,0.06727266,0.5072727,1.9588125,1.191,1.7098751,1.03125,-1.901,1.89375,
320.0,0.19909091,0.0,0.0,-0.3036363,0.101818085,0.5072727,1.90025,1.1825626,1.6935,1.023875,-1.90275,1.8934374,
360.0,0.16090909,0.0,0.0,-0.3490908,0.0727272,0.54181814,1.879875,1.0320625,1.54375,1.019625,-1.9031875,1.88575,
400.0,0.16090909,0.0,0.0,-0.33818173,0.054545403,0.5472727,1.8454375,1.0583749,1.50875,1.0250001,-1.9066875,1.891,
440.0,0.16090909,0.0,0.0,-0.3490908,0.06727266,0.5290909,1.8926251,1.14625,1.4927499,1.0424376,-1.909375,1.8985624,
480.0,0.14909092,0.0,0.0,-0.3909092,0.083636284,0.52363634,1.8824999,1.125,1.4619999,1.0571251,-1.9079375,1.9094374,
520.0,0.16363636,0.0,0.0,-0.40181828,0.1309092,0.5363636,1.8776875,1.092375,1.4211874,1.0736251,-1.91,1.918,
560.0,0.14909092,0.0,0.0,-0.6018181,0.149091,0.51272726,1.834125,1.0371876,1.4108126,1.0809374,-1.9065624,1.9194374,
600.0,0.18727273,0.0,0.0,-0.44909096,0.01999998,0.52363634,1.8620625,0.9224999,1.268125,1.079,-1.9016875,1.9205,
640.0,0.22272727,0.0,0.0,-0.27999997,-0.085454464,0.6181817,1.89925,1.1189375,1.486875,1.0659375,-1.902125,1.9168749,
680.0,0.26363635,0.0,0.0,-0.29090905,0.014545441,0.67090917,1.9048126,0.87793756,1.3262501,1.0533125,-1.9021875,1.908,
720.0,0.25181818,0.0,0.0,-0.4727273,0.07818174,0.6418183,1.9646876,0.88074994,1.3675001,1.0389376,-1.906125,1.8985624,
760.0,0.26909092,0.0,0.0,-0.6199999,0.12545466,0.65272737,2.0332499,0.7984376,1.1585624,1.0311251,-1.9083126,1.896375,
800.0,0.22818182,0.0,0.0,-0.40181828,0.030909061,0.48909092,1.9563749,0.6689999,1.2341876,1.0327499,-1.9133126,1.89625,
840.0,0.20454545,0.0,0.0,0.90545464,-0.1672728,0.24181819,1.8327501,1.2180624,1.6300626,1.0376251,-1.91675,1.9005625,
880.0,0.27545455,1.3663636,0.0,-2.2272727,-1.310909,-1.5345454,-1.4341874,0.047937393,0.047937393,0.86975,1.6949999,-1.5093125,
920.0,0.22545454,0.0,0.0,1.0,-0.2854545,0.30181813,-1.7501875,1.5853126,-0.80937505,1.0827501,1.59675,1.6057501,
960.0,0.23727272,0.0,0.0,0.7763636,-0.03818178,0.47090912,-0.79718745,1.6178124,-0.62581253,0.048000097,-0.8580625,1.3111875,
1000.0,0.24545455,0.0,0.0,0.6181817,0.025454521,0.5363636,-1.150625,1.3006876,-1.077875,0.04893756,-1.06475,1.2333751,
1040.0,0.28727272,0.0,0.0,0.51272726,0.014545441,0.5654545,-1.5065625,1.312,-1.0505625,0.9528749,-1.885875,1.777,
1080.0,0.35181817,0.0,0.0,0.20181823,0.07818174,0.51272726,-1.5930625,1.0865624,-1.281625,1.6659999,-1.8965625,1.9806876,
1120.0,0.33636364,0.0,0.0,0.119999886,0.1309092,0.48909092,-1.6935,1.246625,-1.361375,1.8229375,2.0198126,1.9624374,
1160.0,0.30727273,0.0,0.0,0.149091,0.083636284,0.5072727,-1.8120625,1.296,-1.4503125,1.79475,2.0627499,1.9700625,
1200.0,0.34272727,0.0,0.0,0.0363636,0.090909004,0.5072727,-1.900875,1.2008126,-1.499375,1.628,-1.9716876,1.872,
1240.0,0.32818183,0.0,0.0,0.043636322,0.096363544,0.5,-1.9039375,1.2533126,-1.5339375,1.0346875,-1.9374375,1.6743126,
1280.0,0.30727273,0.0,0.0,-0.090909004,0.1309092,0.5181818,-1.9238125,1.1201875,-1.6254375,0.74825,-1.8005,1.6129999,
1320.0,0.29545453,0.0,0.0,-0.01636362,0.0727272,0.5527272,-1.9161875,1.1226876,-1.6065,1.2028749,-1.82625,1.5910625,
1360.0,0.33636364,0.0,0.0,-0.098181725,0.12545466,0.570909,-1.9910625,1.096375,-1.6591876,1.4840624,-1.858375,1.6433125,
1400.0,0.32818183,0.0,0.0,-0.0090909,0.13636374,0.55999994,-1.9320625,1.062,-1.6445625,1.5845001,-1.87375,1.6989999,
1440.0,0.32818183,0.0,0.0,-0.045454502,0.12545466,0.5472727,2.0711875,1.1608751,-1.703125,1.4510624,-1.845,1.6835625,
1480.0,0.25727272,0.0,0.0,-0.13272738,0.1309092,0.52363634,2.0850625,1.1066251,-1.7505,1.3173125,-1.803,1.6341875,
