Timestamp,fsrLEFT,fsrMIDDLE,fsrRIGHT,xpin,ypin,zpin,ax,ay,az,bx,by,bz,
160.0,0.05272727,0.0,0.0,0.059999943,0.0072727203,0.5290909,-1.8899375,1.2081251,1.9079375,1.167875,-1.781125,2.0079374,
200.0,0.060909092,0.0,0.0,0.0072727203,0.014545441,0.5472727,-1.9070625,1.0822501,1.820375,1.1645,-1.7785625,2.0094376,
240.0,0.09090909,0.0,0.0,-0.027272701,0.025454521,0.5527272,2.0789375,1.109875,1.7643125,1.12975,-1.76775,1.9918125,
280.0,0.09090909,0.0,0.0,-0.07454538,0.0363636,0.59454536,2.0803752,1.0883751,1.6624999,1.0671875,-1.75275,1.9575,
320.0,0.11090909,0.0,0.0,-0.22727275,0.025454521,0.59454536,-1.9951875,1.0715625,1.549375,1.0155001,-1.7471875,1.931875,
360.0,0.14636363,0.0,0.0,-0.2672727,0.0018181801,0.62363625,2.064125,0.9806249,1.458375,1.0002501,-1.7464375,1.9141874,
400.0,0.15454546,0.0,0.0,-0.36181808,0.043636322,0.6418183,1.97825,0.9794376,1.4012499,0.98525,-1.7445,1.9018126,
440.0,0.19909091,0.0,0.0,-0.37272716,0.0363636,0.6418183,1.9391875,0.8685,1.35325,0.9963126,-1.75,1.910625,
480.0,0.19636364,0.0,0.0,-0.33818173,-0.0036363602,0.6581819,1.9012499,0.9223125,1.33725,1.0223124,-1.7525625,1.9310625,
520.0,0.19636364,0.0,0.0,-0.3036363,-0.0090909,0.6581819,2.0040002,0.93575,1.2851875,1.0698125,-1.7611876,1.961875,
560.0,0.19909091,0.0,0.0,-0.26181817,0.101818085,0.5999999,2.0253124,1.017875,1.41975,1.1335626,-1.777625,1.9945624,
600.0,0.16090909,0.0,0.0,-0.34363627,0.059999943,0.63636374,2.0160627,1.04375,1.3347499,1.1637499,-1.7779375,2.00975,
640.0,0.19636364,0.0,0.0,-0.35636353,-0.03818178,0.55999994,2.0706873,0.871125,1.151875,1.162375,-1.779125,2.0089998,
680.0,0.21363637,0.0,0.0,-0.13272738,-0.06909084,0.49454546,2.0954375,0.94925,1.7909374,1.122,-1.7699375,1.9920626,
720.0,0.21363637,0.0,0.0,0.17818189,0.07818174,0.34727263,-1.9550625,0.7970624,2.0295625,1.0694375,-1.7611876,1.9649999,
760.0,0.07545455,2.820909,0.0,0.86363626,0.0018181801,-0.06909084,1.9584374,1.637625,2.0168748,1.0190625,-1.7531875,1.9475,
800.0,0.16636364,0.087272726,0.0,1.0345454,0.0363636,0.26545453,1.5076251,-1.0625625,0.047937393,0.048000097,-0.69581246,1.540375,
840.0,0.06727273,0.0,0.0,1.5563636,0.14363647,-0.103636265,-1.5953751,-1.4950625,-0.296,0.048000097,-1.5808125,1.5448749,
880.0,0.046363637,0.0,0.0,1.5327272,-0.027272701,0.26,-0.290125,-1.941,-0.18474996,1.2501249,-1.736875,1.6099374,
920.0,0.02,0.0,0.0,1.221818,-0.23272729,0.42363644,-1.52825,1.316,-0.50687504,1.292875,-1.75425,1.9381876,
960.0,0.060909092,0.0,0.0,0.8527272,-0.15090919,0.34727263,-1.7103125,1.4126875,-0.98899996,0.43543744,-1.633625,-1.953,
1000.0,0.09090909,0.0,0.0,0.389091,0.043636322,0.24909091,-1.8200625,1.109,-1.330625,1.4282501,-1.782125,2.0820627,
1040.0,0.08181818,0.0,0.0,0.0072727203,0.083636284,0.24909091,-1.746,1.18325,-1.5215625,1.27175,-1.7955,2.053625,
1080.0,0.07272727,0.0,0.0,-0.0036363602,0.01999998,0.30181813,-1.91925,1.2204375,-1.6755,0.41268754,-1.6814375,1.84375,
1120.0,0.043636363,0.0,0.0,-0.15090919,0.0727272,0.3127272,2.0204377,1.2648749,-1.8380625,1.2144375,-1.7665625,1.9203751,
1160.0,0.026363635,0.0,0.0,-0.19090915,0.096363544,0.38363647,2.0626874,1.1967499,-1.8945,1.2934375,-1.7969375,1.9106874,
1200.0,0.02,0.0,0.0,-0.056363583,0.090909004,0.4545455,1.9716251,1.1575,2.0714998,1.2348125,-1.7911875,1.8691249,
1240.0,0.02,0.0,0.0,-0.07454538,0.096363544,0.48363638,1.8361876,1.1673124,1.95575,1.3740001,-1.7659376,1.9164374,
1280.0,0.02,0.0,0.0,-0.03272724,0.083636284,0.52363634,1.9228125,1.1225,1.9598124,1.4542501,-1.758625,1.9818125,
1320.0,0.043636363,0.0,0.0,-0.01636362,0.059999943,0.48909092,1.9314375,1.0975626,1.9927499,1.50175,-1.7976875,2.0298123,
1360.0,0.03181818,0.0,0.0,-0.045454502,0.054545403,0.5,2.0048752,1.1585,2.0860624,1.6151874,-1.8204376,2.0691252,
