Timestamp,fsrLEFT,fsrMIDDLE,fsrRIGHT,xpin,ypin,zpin,ax,ay,az,bx,by,bz
360,0.20818181,0,0.18727273,0.20181823,-0.03818178,0.5181818,2.0825624,1.1310625,2.0313125,1.0394375,-1.7724375,1.8859999
400,0.20181818,0,0.19272727,0.16545463,-0.03272724,0.5290909,2.0533748,1.00875,1.9765625,1.0116875,-1.760875,1.8625624
440,0.22272727,0,0.17545454,0.083636284,0.00727272,0.54181814,2.0406876,1.031625,1.98575,1.0214374,-1.7528125,1.8590624
480,0.18727273,0,0.16636364,0.054545403,0.025454521,0.5290909,2.02075,1.0911875,1.9438751,1.0328751,-1.752375,1.86675
520,0.18181819,0,0.16090909,0.025454521,0.049090862,0.5363636,1.963125,0.9921875,1.9499376,1.0509374,-1.7620625,1.88275
560,0.18727273,0,0.14909092,0.043636322,0.06727266,0.49454546,1.9229374,1.14625,1.9323125,1.0769374,-1.7723125,1.905
600,0.18181819,0,0.13454546,0.0363636,0.07818174,0.51272726,1.8996251,1.1356249,1.9045,1.116375,-1.79175,1.9305625
640,0.18454546,0,0.093636364,0.025454521,0.119999886,0.47636366,1.8735626,1.1628125,1.974875,1.1391251,-1.802625,1.9437499
680,0.14636363,0,0.09909091,0.043636322,0.16545463,0.46000004,1.8930626,1.1965001,1.9189374,1.146375,-1.80075,1.9460626
720,0.13454546,0,0.07545455,-0.07454538,0.083636284,0.48909092,1.8526249,1.1972499,1.947,1.1095624,-1.7948124,1.925
760,0.11363637,0,0.09909091,-0.090909004,0.043636322,0.6418183,1.7838125,1.00225,1.933625,1.0694375,-1.775,1.9029374
800,0.09909091,0,0.09909091,-0.19090915,-0.090909004,1,1.6108749,0.6707499,1.7665625,1.0435624,-1.7635,1.8815
840,0.15181819,0,0.11090909,0.112727165,-0.090909004,1.0981817,1.3619375,0.048000097,1.5600624,1.0268126,-1.7568125,1.8683126
880,0.09090909,0,0.11727273,0.3599999,1.0981817,1,1.1060624,0.13668752,2.0234375,1.019125,-1.7555,1.8715
920,0.10818182,0,0.07272727,0.96909094,0.65272737,0.5999999,1.5074375,0.6136875,-1.4380624,1.0225625,-1.7575625,1.8803124
960,0.12,0,2.321818,2.0836363,-1.6290909,0.24181819,-1.892,1.667125,-1.2430625,1.59325,0.17374992,-0.049562454
1000,0.07272727,0,0.87636364,0.28909087,-0.27272725,-0.045454502,-1.4723125,1.891,1.8464375,0.05412507,-0.8583125,0.60249996
1040,0.11363637,0,0.64454544,0.2781818,-0.33818173,-0.061818123,-0.61993754,1.8294375,-1.528125,0.066124916,-1.67625,1.095125
1080,0.10545454,0,0.5681818,0.389091,-0.25636363,-0.061818123,-1.174875,-1.933125,-1.73625,0.6245625,-1.55,1.0163751
1120,0.10818182,0,0.6472727,0.19636369,-0.2963636,0.043636322,-1.586875,-1.9074376,-1.96075,0.09068751,-1.484875,1.4010625
1160,0.08181818,0,0.6709091,-0.19818187,0.00181818,0.8527272,-1.79725,1.8168125,1.845875,1.1677499,-1.678875,2.041
1200,0.096363634,0,0.7381818,0.24909091,-0.13272738,0.70000005,-1.92675,0.048000097,1.2750626,1.7333751,-1.8285625,2.0796876
1240,0.093636364,0,0.7236364,0.33636355,-0.050909042,1.1581817,-1.8028125,0.46606255,-1.82075,1.8505626,-1.915,2.05275
1280,0.09909091,0,0.69454545,0.389091,-0.114545345,0.90545464,-1.6001875,0.21912503,-1.950375,1.9338751,-1.9380625,-1.9869375
1320,0.11090909,0,0.65909094,0.19636369,-0.15636373,0.8054545,-1.7658125,0.79593754,2.0909376,1.8410625,-1.942125,-1.936625
1360,0.11727273,0,0.6627273,0.01999998,-0.021818161,0.6472728,-1.9318125,0.79462504,-1.8654375,1.6144376,-1.933375,-1.949375
1400,0.087272726,0,0.6736364,-0.098181725,0.096363544,0.5363636,2.0770626,1.02175,-1.997875,1.1528125,-1.8510625,2.0906873
1440,0.11090909,0,0.68,-0.07454538,0.083636284,0.44181824,2.0516877,1.2023125,1.8978126,1.3149376,-1.78525,1.8728125
1480,0.10818182,0,0.6272727,-0.13272738,0.049090862,0.38363647,1.9538126,1.3750625,1.8405626,1.184875,-1.703375,1.7808125
1520,0.10181818,0,0.6390909,-0.1672728,-0.050909042,0.35454535,1.993,1.3009374,1.8559375,1.1861875,-1.703375,1.7768126
1560,0.084545456,0,0.59818184,-0.098181725,-0.056363583,0.4545455,1.9996874,1.4666874,1.867125,1.4143751,-1.7735,1.8514376
